id,date_accessed,region,country,provider,provider_type,service_name_verbatim,pricing_model,tier_name,price_original,currency,period,price_czk_month,hours_included,properties_included,platforms_included,response_time,requires_bq,scope_notes,source_url,evidence_id
PV3-011,2026-09-04,US,IN,"E2M Solutions",analytics_agency,"White Label Web Analytics Tracking — Standard, billed yearly",retainer_hours,"Standard (roční platba, 15 % OFF)","13250 USD/rok",USD,rok,25396,30-35,"neuvedeno (per agency)","GA4, GTM, Google Ads, Meta, Looker Studio","24–48 Hr Turnaround",no,"NOVÁ: v 1. kole zachycena jen měsíční cena 1 299 USD. Přepínač Monthly / Quarterly 10 % OFF / Yearly 15 % OFF; doslova ""$13250 billed yearly"" (úspora $390 vs. quarterly $3507/kvartál). 13 250 / 12 × 23 = 25 396 Kč/měs → efektivní 1 104 USD/měs. Kurz 1 USD = 23 Kč",https://www.e2msolutions.com/white-label-ga4-gtm-service/,E5-014
PV3-012,2026-09-04,US,IN,"E2M Solutions",analytics_agency,"White Label Web Analytics Tracking — Advanced, billed yearly",retainer_hours,"Advanced (roční platba, 15 % OFF)","40790 USD/rok",USD,rok,78181,100-120,"neuvedeno (per agency)","GA4, GTM, Google Ads, Meta, Looker Studio","24–48 Hr Turnaround; Weekly progress call; Dedicated Web Analyst; Quarterly Business Review",no,"NOVÁ: doslova ""$40790 billed yearly"" (úspora $1200). Dále Pro $21410/rok a Marketing Squad $101990/rok. 40 790 / 12 × 23 = 78 181 Kč/měs → efektivní 3 399 USD/měs. Kurz 1 USD = 23 Kč",https://www.e2msolutions.com/white-label-ga4-gtm-service/,E5-014
PV3-013,2026-09-04,US,US,"Web Tonic",performance_agency,"Pricing: Starting at USD $3,000 per month. Flexible and scalable plans at any time according to your enterprise needs.",fixed_package,"starting price",3000,USD,mesic,69000,neuvedeno,neuvedeno,"GA4 implementace, GTM/server-side, Consent Mode, BigQuery export, dashboardy + PPC/paid social",neuvedeno,optional,"NOVÁ: jediná z 21 srovnávaných GA4 agentur s veřejnou MĚSÍČNÍ cenou; zdroj sám uvádí ""Only 3 of the 20 external firms publish a starting price."" Full-service (analytika + média), ne čistá správa měření. Kurz 1 USD = 23 Kč",https://www.webtonic.io/blog/best-ga4-implementation-agencies,E5-007
PV3-014,2026-09-04,EU,UK,"Bind Media",analytics_agency,"From GBP £750 per project (variable by scope)",fixed_package,"od (projekt)",750,GBP,jednorazove,-,neuvedeno,neuvedeno,"GA4 implementace",neuvedeno,unknown,"NOVÁ: jedna ze 3 z 20 firem s veřejnou cenou v témže srovnání; projektová, ne měsíční. Kurz 1 GBP = 29 Kč → 21 750 Kč jednorázově",https://www.webtonic.io/blog/best-ga4-implementation-agencies,E5-007
PV3-015,2026-09-04,US,AU,"Sense Data Lab",analytics_agency,"From AUD $750 (Starter package); Professional package from AUD $2,500",fixed_package,"Starter / Professional","750 / 2500",AUD,jednorazove,-,neuvedeno,neuvedeno,"GA4 implementace pro malé firmy",neuvedeno,no,"NOVÁ: fixní balíčky pro SMB. Kurz AUD není v zadání → nepřepočítáno na CZK",https://www.webtonic.io/blog/best-ga4-implementation-agencies,E5-007
PV3-016,2026-09-04,US,AU,"Digitxl",analytics_agency,"From AUD $1,999 (SMB package); AUD $4,499 (Growth package)",fixed_package,"SMB / Growth","1999 / 4499",AUD,jednorazove,-,neuvedeno,neuvedeno,"GA4 implementace pro SMB",neuvedeno,no,"NOVÁ: fixní balíčky pro SMB. Kurz AUD není v zadání → nepřepočítáno na CZK",https://www.webtonic.io/blog/best-ga4-implementation-agencies,E5-007
PV3-017,2026-09-04,US,US,"Three Ventures Technology, Inc.",analytics_agency,"Clutch GA4 consulting listing: Avg. hourly rate / Min project size",hourly_rate,"Clutch pásmo","200 - 300 /hr; min project 5000+",USD,hodina,57500,"proxy 10 h",-,"GA4, GTM, BigQuery",-,optional,"OPRAVA horní hranice tvrzení ""Clutch 25–199 USD/h"": nejvyšší pásmo v dnešním výpisu je 200–300 USD/h. Roseville, CA, 10–49 zaměstnanců. Proxy 10 h × střed 250 USD; kurz 1 USD = 23 Kč",https://clutch.co/it-services/analytics/ga4-consulting-services,E5-026
PV3-018,2026-09-04,US,US,"TXI",analytics_agency,"Clutch GA4 consulting listing: Avg. hourly rate / Min project size",hourly_rate,"Clutch pásmo","200 - 300 /hr; min project 50000+",USD,hodina,57500,"proxy 10 h",-,"GA4, GTM, BigQuery",-,optional,"NOVÁ: druhý US subjekt v pásmu 200–300 USD/h, Chicago, IL, 50–249 zaměstnanců, minimální zakázka 50 000 USD. Proxy 10 h × střed 250 USD; kurz 1 USD = 23 Kč",https://clutch.co/it-services/analytics/ga4-consulting-services,E5-026
PV3-019,2026-09-04,US,US,"Insightful Networks",analytics_agency,"Clutch GA4 consulting listing: Avg. hourly rate / Min project size",hourly_rate,"Clutch pásmo","150 - 199 /hr; min project 5000+",USD,hodina,40135,"proxy 10 h",-,"GA4, GTM",-,unknown,"NOVÁ: West Hollywood, CA. Proxy 10 h × střed 174,5 USD; kurz 1 USD = 23 Kč",https://clutch.co/it-services/analytics/ga4-consulting-services,E5-026
PV3-020,2026-09-04,US,US,"EGGKNITE (implementation cost guide 2026)",analytics_agency,"Freelance implementers ($75–200 per hour)",hourly_rate,"freelance implementer",75-200,USD,hodina,31625,"proxy 10 h",-,"GA4, GTM",-,no,"NOVÁ: v 1. kole zachycena jen sazba ""Specialist consultancies ($100–300 per hour)"". Proxy 10 h × střed 137,5 USD; kurz 1 USD = 23 Kč",https://www.eggknite.com/blog/how-much-does-analytics-implementation-cost,E5-004
PV3-021,2026-09-04,US,US,"Bounteous",analytics_agency,"Clutch profil: Min project size / Hourly rate",fixed_package,-,"Undisclosed",USD,mesic,neuvedeno,neuvedeno,neuvedeno,"GA4 360, BigQuery, Adobe",neuvedeno,optional,"NOVÁ (dokládá NEEXISTENCI ceny): Clutch profil uvádí doslova ""Min project size Undisclosed"" a ""Hourly rate Undisclosed"", 250–999 zaměstnanců, Chicago, IL. Potvrzuje, že tvrzení ""retainer od 15 000 USD/měs"" nemá oporu ani v minimální velikosti zakázky",https://clutch.co/profile/bounteous,E5-008
PV3-022,2026-09-04,US,US,"Adswerve",analytics_agency,"Clutch profil: Min project size / Hourly rate",fixed_package,-,"Undisclosed",USD,mesic,neuvedeno,neuvedeno,neuvedeno,"GA4 360, BigQuery, GMP",neuvedeno,optional,"NOVÁ (dokládá NEEXISTENCI ceny): Clutch profil uvádí doslova ""Min project size Undisclosed"" a ""Hourly rate Undisclosed"", 50–249 zaměstnanců, New York, NY",https://clutch.co/profile/adswerve,E5-008
