id,date_accessed,region,segment,source_type,source_url,quote_verbatim,language,situation,what_broke,how_noticed,time_to_notice,impact,would_prevent,has_bq,pain_cluster,evidence_id
NG13-011,2026-09-04,GLOBAL,eshop_small,forum,https://community.shopify.com/t/no-tracking-pixel-works-at-all-tiktok-facebook-pinterest-google/303256,On the morning of 5/19 all of our third party pixels stopped tracking and Shopify Sessions on the dashboard started showing a significant and persistent decline. Our sales are not affected ... We can't find any correlation with internal changes,en,Všechny pixely třetích stran přestaly měřit bez zásahu e-shopu,platform_migration,z propadu sessions na dashboardu,4 dny,"žádná data pro optimalizaci kampaní, prodeje běží dál (tichá porucha)",G4;G5;G1;G7,no,Platforma změnila pravidla pod nohama (Shopify/Shoptet/Google/Meta),EG13-008
NG13-012,2026-09-04,GLOBAL,agency,forum,https://community.shopify.com/t/no-tracking-pixel-works-at-all-tiktok-facebook-pinterest-google/303256,"We had an issue last September where all our Shopify integrated pixels (Meta, Tiktok, Pinterest) showed a major decrease in events recorded ... Then this past January we saw the same drop off ... Again, still firing but probably only capturing about 80% of events.",en,Opakovaný částečný výpadek pixelů (~80 % eventů) v září i lednu; platforma popírá problém,platform_migration,srovnáním s GA a s pixely nasazenými ručně,"měsíce (opakovaně, září -> leden -> březen)","trvale podměřených ~20 % eventů, podpora problém neuznává",G4;D2;D3;G2;H3,no,Platforma změnila pravidla pod nohama (Shopify/Shoptet/Google/Meta),EG13-008
NG13-013,2026-09-04,GLOBAL,eshop_small,forum,https://community.shopify.com/t/ga4-suddenly-stopped-tracking-purchases/328192,"Everything was working perfectly, GA4 was tracking orders/purchases - and then suddenly it stopped, and hasn't recorded a purchase in over a week. I can't figure out why.",en,GA4 přestal měřit nákupy na nově spuštěném Shopify webu,platform_migration,kontrolou GA4 reportu,přes týden,"žádná data o nákupech v GA4, i když objednávky chodí",G1;A1;A4,no,Purchase potichu přestal chodit po releasu/změně checkoutu,EG13-009
NG13-014,2026-09-04,EU,eshop_small,forum,https://community.shopify.com/t/google-ads-conversion-tracking-suddenly-broken/163457,From 10th October my google Ads purchase event script no longer works. ... It all started with double counting conversions and after that I modified the code ... The tag no longer tracked sales even when returning to the old way code.,en,Vlastní úprava kódu kvůli duplicitám shodila měření konverzí úplně,gtm_change_dev,z nulových konverzí v Google Ads,18 dní (10.10.-28.10.2022),"Google Ads bez konverzí; nejprve duplicity, pak úplná ztráta",A2;A3;D1;G1;G7,no,Fake a duplicitní konverze nafukují čísla,EG13-010
NG13-015,2026-09-04,GLOBAL,eshop_small,forum,https://community.shopify.com/t/ga4-begin-chekout-add-payment-suddenly-not-working/227632,We have had the same issue since March 12th - orders suddenly stopped tracking. We have reconfigured custom events in Ga4 but it's still not working.,en,Eventy begin_checkout / add_payment_info přestaly chodit do GA4,platform_migration,z nulových hodnot v GA4 reportu,24 dní (12.3.-5.4.2024),"chybí kroky funnelu, nelze měřit odpady v checkoutu",A1;A4;G1,no,Purchase potichu přestal chodit po releasu/změně checkoutu,EG13-011
NG13-016,2026-09-04,GLOBAL,eshop_small,forum,https://community.shopify.com/t/microsoft-advertising-conversion-goals-will-automatically-return-to-their-original-state/341198,"when I used Checkout Extensibility on my Thank you and Order status pages, everything stopped working. After using Checkout Extensibility, the URL for completing a purchase changed from thank_you to thank-you ... This resulted in the inability to track conversions on the ads.",en,"Změna platformy změnila URL thank-you stránky, konverzní cíl v Microsoft Ads přestal platit",platform_migration,z nulových konverzí v Microsoft Ads,neuvedeno (problém trval měsíce bez řešení),"Microsoft Ads bez konverzí, cíl se automaticky vrací na starou URL",D3;C3;G1;G7,no,Platforma změnila pravidla pod nohama (Shopify/Shoptet/Google/Meta),EG13-012
NG13-017,2026-09-04,GLOBAL,unknown,stackoverflow,https://stackoverflow.com/questions/79849127/ga4-bigquery-daily-export-missing-data-after-specific-date,"Everything was working fine until 2025-11-23, when the events_YYYYMMDD table contained about ~540k rows daily (Web + iOS). Starting 2025-11-24, the exported tables only have about 5k rows per day, and contain only iOS platform data.",en,"GA4 -> BigQuery export přestal zahrnovat webový data stream, iOS chodí dál",bq_export_gap,až kontrolou počtu řádků v denní tabulce,neuvedeno; propad 540k -> 5k řádků/den,"99 % eventů chybí v BQ, GA4 UI přitom ukazuje data normálně - rozpor mezi UI a exportem",E1;E3;G6;G2,yes,BigQuery export tiše přestal chodit / přišel děravý,EG13-013
NG13-018,2026-09-04,GLOBAL,unknown,stackoverflow,https://stackoverflow.com/questions/79849127/ga4-bigquery-daily-export-missing-data-after-specific-date,"I suspect the BigQuery export job stopped including Web platform from GA4 after 2025-11-24, but I cannot find any error logs.",en,Výpadek exportu bez jakéhokoli logu nebo notifikace,bq_export_gap,ruční šetření,neuvedeno,nulová diagnostika: Google výpadek neohlásí a nelogaruje,E1;G6;G7,yes,BigQuery export tiše přestal chodit / přišel děravý,EG13-013
NG13-019,2026-09-04,GLOBAL,unknown,stackoverflow,https://stackoverflow.com/questions/77682009/ga4-data-export-to-bigquery-has-suddenly-stopped,GA4 data export to BigQuery suddenly stopped a few days ago. BQ is still linked to GA4 and GA4 is capturing data. No export limit has been reached as well.,en,"Export do BQ se zastavil, propojení i sběr dat vypadají v pořádku",bq_export_gap,kontrolou datasetu v BQ,několik dní,"chybějící denní tabulky, nefunkční navazující reporty a dotazy",E1;G6,yes,BigQuery export tiše přestal chodit / přišel děravý,EG13-014
NG13-020,2026-09-04,GLOBAL,unknown,stackoverflow,https://stackoverflow.com/questions/72531169/why-did-ga4-product-link-stopped-working,My GA4 property stopped sending data since 3 days to my bigquery tables. The configuration has not changed and have been running for the last 4 month without any issues. I have not reach the export limit (the property is at 4% of 1M events limits),en,Export běžel 4 měsíce bez problému a pak se bez změny konfigurace zastavil,bq_export_gap,kontrolou tabulek v BQ,3 dny,3 dny chybějících dat v BQ; příčina neznámá,E1;G6;G7,yes,BigQuery export tiše přestal chodit / přišel děravý,EG13-015
NG13-021,2026-09-04,GLOBAL,unknown,stackoverflow,https://stackoverflow.com/questions/73486720/ga4-bigquery-export-doesnt-export-all-the-data,"on inspection I noticed that roughly half of the events were missing in the raw data ... When inspecting the event stats in the standard GA4 report I noticed that ""Data Thresholding"" was applied",en,GA4 thresholding vyřazuje část eventů z exportu do BQ,bq_export_gap,ruční kontrola raw dat proti GA4 UI,neuvedeno,polovina eventů chybí v BQ; nikdo o tom předem neví,E1;C2;E3,yes,BigQuery export tiše přestal chodit / přišel děravý,EG13-016
NG13-022,2026-09-04,GLOBAL,unknown,stackoverflow,https://stackoverflow.com/questions/66169932/firebase-analytics-doesnt-export-events-table-to-bigquery-even-though-streamin,"About 3 weeks ago the connector in Firebase was enabled with the ""Streaming"" export setting. Just recently I decided to check BigQuery to start making some views and noticed that there is only 3 weeks' worth of ""intraday"" tables ... but these are completely missing",en,"Špatně nastavený režim exportu - 3 týdny běželo jen intraday, denní tabulky vůbec nevznikly",bq_export_gap,až když si šel autor stavět view nad daty,3 týdny,3 týdny dat jen v dočasných intraday tabulkách; riziko nenávratné ztráty historie,E1;E4;G6,yes,BigQuery export tiše přestal chodit / přišel děravý,EG13-017
NG13-023,2026-09-04,GLOBAL,unknown,stackoverflow,https://stackoverflow.com/questions/40697988/list-all-the-queries-made-to-bigquery-with-their-processed-bytes,Suddenly our BigQuery Analysis Costs have increased a lot and we think we are being charged like 20 times more than expected,en,Skokový nárůst nákladů na BQ dotazy bez zjevné příčiny,bq_cost_spike,z fakturace,neuvedeno; zjištěno až z faktury,"20x vyšší účet za analýzy, než tým očekával",E2;E3;G6,yes,Překvapivá faktura za BigQuery,EG13-018
NG13-024,2026-09-04,GLOBAL,unknown,stackoverflow,https://stackoverflow.com/questions/79816405/bigquery-tvfs-prevent-optimization-lead-to-higher-billing,"We recently saw our billing costs and usage skyrocket and are trying to determine the cause. Nothing fundamentally changed with the amount of data we are querying, storing, etc",en,Refaktoring SQL do TVF znemožnil optimalizaci a zvedl compute náklady,bq_cost_spike,"z fakturace, zpětně korelováno s datem změny",neuvedeno; zjištěno z faktury,prudký nárůst compute nákladů způsobený vlastní změnou transformací,E2;E3,yes,Překvapivá faktura za BigQuery,EG13-019
NG13-025,2026-09-04,GLOBAL,unknown,stackoverflow,https://stackoverflow.com/questions/51717247/firebase-bigquery-export-schema-size-difference,"the data from 4/1/18 in the old schema was 3.5MM rows and 8.7 Gig. Once migrated, the new table from the same date is 32.3MM rows and 27 Gig. ... we are getting charged significantly more in BigQuery query costs",en,Změna schématu GA4/Firebase exportu 3x nafoukla objem dat a náklady na dotazy,bq_cost_spike,porovnáním velikosti tabulek po migraci,po migraci schématu,"3x větší objem dat, výrazně vyšší náklady na dotazy",E2;E3,yes,Překvapivá faktura za BigQuery,EG13-020
NG13-026,2026-09-04,GLOBAL,b2b_leadgen,stackoverflow,https://stackoverflow.com/questions/76725256/google-tag-manager-events-stopped-working-suddenly,"We've put this in production almost two months ago, and everything looked to be working fine. But from 1 month ago (to be exact on June 10th), events stopped working properly suddenly. Nothing have been change by our side at the GTM configuration.",en,Změna Content-Security-Policy na straně webu (Salesforce) zablokovala GTM eventy,release_web,až po měsíci při kontrole,1 měsíc,"měsíc bez měření eventů; příčina je CSP hlavička, kterou nasadil někdo jiný",A1;A4;G4;H1,no,Purchase potichu přestal chodit po releasu/změně checkoutu,EG13-021
NG13-027,2026-09-04,GLOBAL,saas_marketplace,stackoverflow,https://stackoverflow.com/questions/76627559/event-data-not-flowing-from-google-tag-manager-to-google-analytics-for-a-particu,This Setup was all working fine for a few months and nothing was changed in between then and now. ... Now suddenly the events from app (app.XXXXX.com) have stopped showing up in GA4 property but all the events from website (XXXXX.com) still show in GA4,en,"Eventy z aplikační subdomény přestaly chodit do GA4, z hlavního webu chodí dál",unknown_owner,kontrolou GA4 reportu,měsíce (setup běžel 'a few months'),částečný výpadek jen na jedné subdoméně - v součtech skoro neviditelný,A1;A4;C3;G4,no,Purchase potichu přestal chodit po releasu/změně checkoutu,EG13-022
NG13-028,2026-09-04,GLOBAL,agency,stackoverflow,https://stackoverflow.com/questions/76785988/missing-session-start-event-so-no-session-source-medium-either-but-no-meas,the session source/medium dimension stopped working and the vast majority of purchases and revenue are coming from unassigned channel and (not set) source / medium,en,Chybějící session_start u části trafficu shodil atribuci nákupů do (not set),utm_chaos,z reportu zdrojů - většina revenue spadla do unassigned,neuvedeno,většina nákupů a tržeb bez zdroje - atribuce kampaní nepoužitelná,C3;C4;D4;G3,no,Kampaně spadly do Direct / (not set) - atribuce slepá,EG13-023
NG13-029,2026-09-04,GLOBAL,unknown,stackoverflow,https://stackoverflow.com/questions/67083260/user-does-not-have-sufficient-permissions-for-this-profile-google-analytics-a,"I'm using Google Spreadsheets to track the progress and such, and had to waste time migrating the API for it using OAuth2 and the Google Analytics Data API (GA4) All went fine. Until a few weeks ago when it stopped working.",en,Reportovací pipeline přes GA API přestala fungovat po změně API/oprávnění,connector_token,když se report přestal plnit,několik týdnů,"report se zastavil, nutná migrace na jinou verzi API",F2;C6;G6,no,Konektor/dashboard přestal aktualizovat,EG13-024
NG13-030,2026-09-04,GLOBAL,eshop_mid,stackoverflow,https://stackoverflow.com/questions/77782060/looker-studio-conditionally-add-integers-to-aggregated-metrics-dependent-on-mon,"We use GA4 and Looker Studio for our reporting and for a period in Nov and Dec GA4 was not receiving transaction data. We have estimated the number and value of the missing transactions, which I now need to add in to our reports ... there were 57 more transactions in November than GA4 reports.",en,Dva měsíce chybějících transakcí v GA4; tým je musí dopočítat a ručně dolepit do reportů,revenue_mismatch,po skončení výpadku srovnáním s backendem,2 měsíce (listopad + prosinec),"57 chybějících transakcí jen za listopad; reporty a meziroční srovnání trvale zkreslené, nutná ruční korekce",G2;F1;F3;E5,no,"GA4 vs. backend se rozjely a nikdo neví, co je normální",EG13-025
NG13-031,2026-09-04,GLOBAL,b2b_leadgen,stackoverflow,https://stackoverflow.com/questions/33762452/moving-to-google-tag-manager-broke-our-virtual-pageviews,"Since migrating to GTM, all of our virtual pageviews stopped working. ... That is all that has changed and I can't figure out why our virtual pageview scripts no longer work.",en,"Migrace měření do GTM shodila virtuální pageviews, na kterých stály konverze z formulářů",platform_migration,až z výpadku konverzí ve formulářích,neuvedeno,ztráta měření všech konverzí z kontaktních formulářů,A1;A4;H1,no,Purchase potichu přestal chodit po releasu/změně checkoutu,EG13-026
NG13-032,2026-09-04,EU,eshop_small,stackoverflow,https://stackoverflow.com/questions/24371058/e-commerce-tracking-with-google-tag-manager-and-datalayer,due to a problem with the google tag manager account we've lost all the configuration in the GTM. ... I don't have documentation on how the GTM was configured. What I'm doing is to reverse engineering the GTM configuration,en,Ztráta celé konfigurace GTM bez dokumentace a bez zálohy,access_lost,z rozbitých e-commerce reportů,neuvedeno,kompletní rekonstrukce měření reverzním inženýrstvím z HTML a starých reportů,A3;H2;C6,no,Odešel člověk / agentura drží přístupy,EG13-027
NG13-033,2026-09-04,GLOBAL,eshop_small,forum,https://wordpress.org/support/topic/purchases-are-not-getting-recorded-in-ga-from-26th-july-2026/,"The Woocommerce analytics database has stopped updating as of July 26, we are unable track the issue",en,"WooCommerce e-shop: od 26.7.2026 se přestaly zaznamenávat nákupy, majitel neumí příčinu dohledat",release_web,až kontrolou reportu,cca 3 týdny (26.7. -> hlášeno v polovině srpna 2026),žádná data o nákupech; vlákno bylo po 2 týdnech uzavřeno jako 'resolved' bez řešení,A1;A4;G1;G7,no,Purchase potichu přestal chodit po releasu/změně checkoutu,EG13-028
NG13-034,2026-09-04,GLOBAL,eshop_small,forum,https://wordpress.org/support/topic/purchase-event-missing-in-gtm4wp-v1-22-regression-from-v1-21/,"After updating GTM4WP from v1.21 to v1.22, my WooCommerce purchase event stopped firing completely. ... GTM and all other eCommerce events (view_item, add_to_cart, begin_checkout) still worked",en,"Rutinní update pluginu (regrese) shodil jen purchase, ostatní eventy chodily dál",release_web,porovnáním dataLayeru po objednávce,neuvedeno; problém přetrvával i po 10 měsících u dalších uživatelů,"ztráta všech purchase eventů; ostatní eventy fungují, takže agregované grafy vypadají v pořádku",A1;A4;G1;G4,no,Purchase potichu přestal chodit po releasu/změně checkoutu,EG13-029
NG13-035,2026-09-04,GLOBAL,eshop_small,forum,https://wordpress.org/support/topic/purchase-event-missing-in-gtm4wp-v1-22-regression-from-v1-21/,has it been figured out what was the issue? I seem to be experiencing the same problem.,en,Stejná regrese pluginu u dalšího e-shopu o 10 měsíců později,release_web,z chybějících purchase eventů,10 měsíců po prvním hlášení stále nevyřešeno,problém přežil více verzí pluginu; jediné řešení je rollback,A1;A4;G4,no,Purchase potichu přestal chodit po releasu/změně checkoutu,EG13-029
NG13-036,2026-09-04,GLOBAL,eshop_small,forum,https://wordpress.org/support/topic/begin_checkout-missing-on-block-checkout-2-0-0/,"I updated to 2.0.0 hoping it would resolve mid-funnel ecommerce events on the WooCommerce block-based checkout, and two of the three are now working. ... But begin_checkout never appears, and view_cart is firing on the checkout page rather than the cart page.",en,Přechod na blokový checkout WooCommerce rozbil rozpoznání typu stránky a tím eventy funnelu,platform_migration,ruční čtení dataLayeru na /checkout/,neuvedeno; odhaleno až cíleným debugem,"chybí begin_checkout, view_cart se pálí na špatné stránce, add_payment_info se pálí bez interakce",A1;A4;H1,no,Purchase potichu přestal chodit po releasu/změně checkoutu,EG13-030
NG13-037,2026-09-04,GLOBAL,eshop_small,forum,https://wordpress.org/support/topic/add_to_cart-remove_from_cart-never-fire-on-sites-using-the-interactivity-api/,"Symptom: add_to_cart and remove_from_cart never fire, on any page, for any product. view_item fires correctly.",en,"Šablona postavená na novém WordPress Interactivity API nemá datové úložiště, ze kterého plugin čte",release_web,až po hlubokém debugu (window.wp.data je undefined),neuvedeno,trvale chybí add_to_cart a remove_from_cart; funnel v GA4 začíná až u view_item,A1;A4;H1;G1,no,Purchase potichu přestal chodit po releasu/změně checkoutu,EG13-031
NG13-038,2026-09-04,EU,eshop_small,forum,https://wordpress.org/support/topic/a-lot-of-unassgined-traffic-in-my-report/,"When i check the traffic report i get 30% of unassigned traffic. This problem appears since some time so its not something new. When i check the source / medium i just get the information ""not set"".",en,"Třetina sessions bez zdroje/media, majitel neví od kdy ani proč",utm_chaos,kontrolou reportu zdrojů,"'since some time' - dlouhodobě, bez známého začátku",30 % trafficu bez atribuce; rozhodování o kanálech na neúplných datech,C3;C4;D4;G3;B1,no,Kampaně spadly do Direct / (not set) - atribuce slepá,EG13-032
NG13-039,2026-09-04,EU,eshop_small,forum,https://wordpress.org/support/topic/events-firing-before-consent-update/,"some key events, such as purchase and begin_checkout, are firing before the consent update is processed. This results in consent being reported as denied, by not activating the relevant tags for Google ADS",en,"Pořadí eventů vs. consent update: purchase se pálí dřív, než CMP nastaví souhlas",consent_change,kontrolou pořadí eventů v Tag Assistantu,neuvedeno,"Google Ads konverze se neaktivují, protože v okamžiku purchase je souhlas ještě 'denied'",B1;B3;D1;A4,no,Cookie lišta potichu vypnula měření a Ads konverze,EG13-033
NG13-040,2026-09-04,EU,eshop_small,forum,https://wordpress.org/support/topic/events-firing-before-consent-update/,"Purchase and other events were not tracked in GA4 (they were completely missing). Purchase events were not properly tracked in Google Ads conversions. Sometimes they were missing entirely, other times the purchase amount was missing.",en,"Nestabilní chování consentu: eventy někdy chybí úplně, jindy chybí jen částka",consent_change,analýzou toku eventů v Tag Assistantu,"'often encountered' - opakovaně, dlouhodobě",nekonzistentní purchase v GA4 i v Ads; někdy chybí hodnota konverze,B1;B3;D1;G2,no,Cookie lišta potichu vypnula měření a Ads konverze,EG13-033
NG13-041,2026-09-04,EU,eshop_small,forum,https://wordpress.org/support/topic/events-firing-before-consent-update/,Why is no one answering? Is it possible that only me and Angelo have this problem? Is there anyone who can help us?,en,E-shopař bez dodavatele měření zůstává s consent problémem sám na fóru,consent_change,-,1 rok a 2 měsíce od hlášení bez odpovědi,"žádná pomoc; problém zůstává neřešený, protože nikdo nemá měření na starost",B1;H5;G7,no,Nikdo v firmě nevlastní měření - nastaveno 'zkusmo',EG13-033
NG13-042,2026-09-04,GLOBAL,eshop_small,forum,https://wordpress.org/support/topic/missing-purchase-events-in-woo/,"When testing, it worked as expected, but when going live a significant number of thank-you pages were missing the DL. I have now swithched back to gtm4wp, but the problem remains, and there is no logging functionality in the plugin.",en,"Test prošel, produkce ne: část thank-you stránek nemá dataLayer, plugin nemá logování",release_web,porovnáním počtu objednávek a purchase eventů,neuvedeno,část nákupů trvale neměřena; bez logů nelze zjistit které a proč,A1;A4;G2;G4,no,Purchase potichu přestal chodit po releasu/změně checkoutu,EG13-034
NG13-043,2026-09-04,GLOBAL,eshop_small,forum,https://wordpress.org/support/topic/when-using-enable-blacklist-whitelist-feature-the-ga4-traffic-stops-fully/,"If I enable ""Security > Enable blacklist/whitelist"" feature to any of 2 available modes it stops my GA4 traffic from flowing from the website fully. The Tags keeps firing just fine, just the traffic to GA4 stop.",en,"Bezpečnostní nastavení GTM zablokovalo odesílání do GA4, tagy přitom vypadají jako spuštěné",gtm_change_dev,až porovnáním 'tag fired' vs. data v GA4,neuvedeno,úplná ztráta dat v GA4 při zdánlivě funkčních tazích - nejzrádnější typ výpadku,A3;A4;G4;G1,no,Někdo sáhl do GTM/dataLayeru bez koordinace,EG13-035
NG13-044,2026-09-04,GLOBAL,eshop_small,forum,https://wordpress.org/support/topic/events-are-not-shown-in-ga4/,I did everything you wrote with no success. ... I did notice that your site is loading both Google Tag Manager and the Site Kit plugin. ... I suspect there may be a conflict between the multiple tracking implementations,en,"Souběh GTM, Site Kit a nativního pluginu - nikdo neví, který kód měření vlastní",unknown_owner,opakovaným testováním s podporou pluginu,1 měsíc komunikace bez vyřešení,eventy nechodí do GA4; podpora nakonec vlákno zavře jako 'resolved' bez řešení,A6;A3;H2;C6,no,"Kontejner-černá skříňka: nikdo neví, co které tagy dělají",EG13-036
NG13-045,2026-09-04,EU,eshop_mid,support_community,https://support.google.com/analytics/thread/464590913/ga4-under-reporting-over-70-of-traffic-and-purchases-since-1-september-2026,"GA4 under-reporting over 70% of traffic and purchases since 1 September 2026 ... Since 1 September 2026, our GA4 property has suddenly started under-reporting users, se[ssions]",en,GA4 od 1.9.2026 podměřuje traffic i nákupy o více než 70 %,ga4_change,z propadu čísel v reportech,3 dny (1.9.-4.9.2026),podměřeno přes 70 % trafficu a nákupů - všechna rozhodnutí na základě GA4 jsou zkreslená,G1;G2;G3;C5;F3,no,Platforma změnila pravidla pod nohama (Shopify/Shoptet/Google/Meta),EG13-037
NG13-046,2026-09-04,GLOBAL,b2b_leadgen,support_community,https://support.google.com/analytics/thread/464099337,"GA4 collect requests rejected with 503 since Aug 31, recording only 15% of traffic ... Since August 31, 2026 our GA4 property (G-YG2210GQYC, news site with ~500k pageviews/month",en,Zpravodajský web s 500k pageviews/měs: GA4 odmítá 85 % hitů chybou 503,ga4_change,z propadu měřeného trafficu,4 dny,měří se jen 15 % trafficu na webu s ~500 tis. zobrazení měsíčně,G1;G5;C5;G7,no,Platforma změnila pravidla pod nohama (Shopify/Shoptet/Google/Meta),EG13-038
NG13-047,2026-09-04,GLOBAL,unknown,support_community,https://support.google.com/analytics/thread/462184529/ga4-reporting-zero-users-since-24-august-despite-hits-being-accepted,"GA4 reporting zero users since 24 August despite hits being accepted ... Since around 2pm UTC on 24 August, my GA4 property reports zero active users in Realtime and the dai[ly]",en,"Hity jsou přijímány (HTTP 200), ale GA4 vykazuje nula uživatelů",ga4_change,kontrolou realtime a denních reportů,od 24.8. (hlášeno v řádu dní),nula uživatelů v reportech při funkčním odesílání - klasická tichá porucha na straně Googlu,G1;G5;C5,no,Platforma změnila pravidla pod nohama (Shopify/Shoptet/Google/Meta),EG13-039
